در	4510
به	3668
از	3425
که	2486
این	1879
با	1814
است	1666
را	1643
ایران	1561
تهران	1243
انفجار	1024
اسراییل	934
رو	889
کرد	850
آمریکا	847
ساعت	839
شده	827
برای	817
اسفند	794
ما	788
صدای	786
ترامپ	751
تا	715
بود	713
یک	692
هم	691
دریافتی	666
حمله	657
شد	617
جمهوری	608
اسلامی	603
حملات	526
قرار	512
هدف	489
او	485
کرده	467
روز	457
سمت	456
گفت	453
سپاه	394
جنگ	393
ارتش	384
آن	350
گزارش	343
خواهد	338
اعلام	335
بر	333
ویدیوی	332
شرح	324
نظامی	321
خود	321
تو	321
خیلی	318
اما	317
دو	306
شدید	305
من	295
کشته	282
درباره	281
جنگنده	278
شما	272
یا	271
خامنه‌ای	270
دیگر	269
منطقه	268
داد	259
تصاویر	250
الان	247
پیش	246
مردم	245
هوایی	242
کشور	240
انجام	237
یه	237
آن‌ها	235
متحده	233
وزیر	228
زدن	228
شنبه	226
حال	226
شدن	224
ادامه	222
گفته	220
غرب	220
نزدیک	218
نیروی	218
نیروهای	214
ایالات	208
چند	207
عملیات	206
نیست	204
داده	200
ولی	200
پس	200
کار	199
موشک	196
میاد	196
علی	195
دقیقه	192
باید	192
شرق	190
همچنین	188
دونالد	186
حدود	186
همین	186
منتشر	185
داره	185
اگر	182
اومد	177
رژیم	176
گرفته	173
پدافند	171
بوده	171
دارد	171
شهر	171
خبر	169
هر	169
امروز	166
دست	166
یکی	166
دوشنبه	165
بسیار	165
شود	165
نفت	164
های	164
بالا	163
نیز	162
جدید	161
آمریکایی	160
اکنون	160
جمعه	160
مورد	160
همه	158
رهبر	156
هسته‌ای	155
علیه	155
سه	154
هیچ	153
مجتبی	152
صدا	152
کند	152
پاسداران	151
بعد	150
کرج	150
شلیک	147
کردن	147
بار	147
بامداد	146
می‌شود	146
ها	146
خارجه	145
هستند	144
اصفهان	143
فکر	140
رییس‌جمهور	139
آنها	139
خیابان	138
مرکز	137
تنگه	136
شبکه	136
صبح	135
مذاکرات	134
پایان	133
لاریجانی	132
کشورهای	132
پیام	132
کنند	132
پهپاد	130
نفر	130
تاکید	129
وحید	129
سه‌شنبه	128
پایگاه	128
موشکی	128
پنجشنبه	127
باشد	127
رییس	127
افزود	126
هنوز	126
عکس	126
یکشنبه	125
هرمز	124
استفاده	123
دریایی	123
امنیت	123
دیگه	123
موج	123
کردند	122
جنوب	122
داشت	122
دفاع	122
می‌کند	119
خاورمیانه	118
رهبری	118
نه	118
عراقچی	117
زد	117
جمهوری‌اسلامی	116
شیراز	116
گرفت	116
انفجارهای	115
شنیده	115
سر	114
آغاز	113
پشت	113
توسط	112
می‌دهد	111
گذشته	111
بسیج	111
فرماندهی	110
دور	110
لرزید	108
وجود	108
چه	108
خبرگزاری	107
بین	107
توافق	106
اطلاعات	105
بودند	105
سلام	105
وزارت	104
میشه	104
چهارشنبه	103
ایرانی	103
هشدار	103
فوری	102
کل	102
دی	100
نتانیاهو	99
تمام	98
فارس	98
هفته	98
فقط	98
شده‌اند	97
دولت	97
حتی	97
سال	97
زدند	96
داشته	95
ویدیو	95
خونه	95
صورت	95
اون	95
ملی	95
خواهیم	94
ارشد	94
لحظه	94
اول	94
نظر	94
آینده	93
چندین	93
روی	93
چون	93
احتمالا	92
برخی	92
شب	92
سازمان	91
شورای	91
هستیم	91
کردیم	91
شهرک	91
سخنگوی	90
ساختمان	89
دوباره	89
اشاره	89
اهداف	89
اساس	89
دادن	89
کامل	89
فرودگاه	88
دارن	88
زیر	88
شروع	87
اخیر	86
نشده	86
نابود	84
مهیب	84
اینکه	83
میدان	83
وضعیت	83
نشان	83
نوشت	83
ناو	83
پی	83
تایید	82
کنیم	82
محل	82
حکومت	81
شمال	81
نقل	81
دارند	80
میان	80
بمباران	79
امنیتی	79
آزادی	79
دیگری	79
منابع	79
جمله	79
پاسخ	79
شدند	78
همچنان	77
بیش	77
کلانتری	76
مقامات	76
اقدام	76
دید	76
می‌کنند	75
می‌کنیم	75
تهدید	75
زمان	75
بدون	74
حضور	74
آیا	74
جان	74
کنم	74
تروریستی	73
ویدیوهای	73
جریان	73
زیادی	73
مقام	73
وارد	73
موشک‌های	72
داریم	72
سنگین	72
موضوع	72
ترور	72
زمین	72
ممکن	72
سوی	72
شدت	72
سنتکام	71
اصابت	71
حالا	71
شیشه	71
خاک	71
بررسی	70
بیشتر	70
ناحیه	70
نوشته	70
عنوان	69
جهان	69
اسراییلی	68
کاملا	68
چیزی	68
هست	68
پست	68
کمک	68
می‌کنم	67
آپدیت	67
مربوط	67
بودن	67
سلاح	67
مقام‌های	66
پیام‌های	66
فرمانده	66
بزرگ	66
دیده	66
بمب	66
دوم	66
امارات	65
آسمان	65
دود	65
پنج	65
می	65
بین‌المللی	64
اجتماعی	64
مهرآباد	64
افزایش	64
برنامه	64
آماده	64
زیاد	64
عراق	64
مجلس	64
کسی	64
گزارش‌ها	63
حوالی	63
رسانه‌های	62
شهروندان	62
وحشتناک	62
پزشکیان	62
انتشار	62
بیانیه	62
تسلیم	62
حالی	62
هگست	62
چهار	62
کنه	62
کرده‌اند	61
ایجاد	61
لرزش	61
هزار	61
راه	61
قبل	61
رییس‌جمهوری	60
تاسیسات	60
افراد	60
اینجا	60
مختلف	60
مرکزی	60
عبور	60
قطع	60
استان	59
دنبال	59
ساله	59
عباس	59
بالستیک	58
گفت‌وگو	58
انتخاب	58
درصد	58
وقتی	58
برق	58
ای	58
انقلاب	57
پهپادی	57
مناطق	57
سقوط	57
مشخص	57
چنین	57
کاخ	57
رویترز	56
روسیه	56
امور	56
باشه	56
تنها	56
داخل	56
سفید	56
آتش	56
طی	56
فعالیت	55
حمایت	55
زمانی	55
ندارد	55
